UID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Target
593,S,38,45,27,1,C22 C26,39,79,113781,25,2,9sPvO8PX,1,499,151.55,1,0
594,S,-8,67,53,3,,61,77,7534,16,0,7Geyz1yM,0,139,9.2167,1,0
595,S,55,62,42,1,C83,57,28,36973,45,0,pFewEXgn,1,63,83.475,1,0
596,S,32,86,59,3,,59,64,315089,38,0,d6OsCXJD,0,472,8.6625,2,0
597,C,5,46,76,1,A26,63,63,13213,56,0,zuaMTtxE,0,648,35.5,1,1
598,C,83,11,44,3,F E69,79,50,2668,,1,5ByJkxSH,1,129,22.3583,1,1
599,S,26,29,45,1,A24,63,43,PC 17590,31,0,bciYacU6,0,868,50.4958,2,0
600,S,61,68,18,1,B73,31,27,12749,30,0,2I4c3laf,0,521,93.5,1,1
601,C,12,7,32,1,,46,18,PC 17605,,0,WnpjuZbL,0,65,27.7208,1,0
602,S,38,34,54,3,,46,46,350406,14,0,2DIjT8DE,0,15,7.8542,2,0
603,Q,24,77,60,3,,73,37,35851,16,0,EDfMNb5O,0,157,7.7333,1,1
604,S,51,20,51,3,,56,66,7546,40,0,DYiY4yrf,1,41,9.475,1,0
605,S,35,62,65,1,C30,70,51,113787,55,0,DUH90U76,0,493,30.5,1,0
606,S,6,36,33,3,,25,64,347069,19,0,R8LUvmRR,0,380,7.775,2,0
607,S,45,7,34,1,,83,58,111428,45,0,5kXSy39w,0,188,26.55,1,1
608,S,44,74,73,1,B96 B98,44,28,113760,36,2,Dhtwapqo,1,764,120,2,1
609,S,50,31,51,3,,25,36,STON/O2. 3101283,27,0,t8szK7zm,0,217,7.925,1,1
610,C,25,22,35,1,D33,43,47,PC 17572,49,0,yG5udSgD,1,53,76.7292,2,1
611,C,34,94,37,1,E40,3,60,16966,41,0,puG5wylo,0,338,134.5,2,1
612,S,25,32,37,1,D30,23,19,113773,19,0,BrjNWX7Z,1,749,53.1,2,0
613,S,70,42,65,3,,28,39,347062,33,0,KEgbBrxG,0,720,7.775,2,0
614,S,81,36,49,1,E8,84,109,113806,27,0,4lJLF503,1,725,53.1,2,1
615,C,46,-9,57,1,,26,38,PC 17612,,0,47KRK4g2,0,296,27.7208,1,0
616,S,69,26,-17,1,E24,40,23,PC 17475,35,0,t7J74xG7,0,702,26.2875,1,1
617,S,79,62,38,3,G6,106,67,347054,29,1,UodXTrtB,1,252,10.4625,1,0
618,S,58,51,55,2,,67,52,31027,30,0,TRa5Emu5,3,727,21,1,1
619,S,97,85,54,3,,56,43,364506,34,0,aAsEoGgz,0,462,8.05,2,0
620,C,64,43,69,3,,51,54,349240,29,0,nQ5rWeJ6,0,456,7.8958,2,1
621,S,15,49,48,1,B42,32,31,112053,19,0,UIcSurS9,0,888,30,2,1
622,S,50,51,36,1,C99,89,115,PC 17760,35,0,cxEoiwT0,0,270,135.6333,2,1
623,S,26,63,79,3,,15,94,CA. 2343,,2,6MW8OgYx,8,202,69.55,1,0
624,S,103,69,51,2,,-10,76,C.A. 33595,40,0,TmMSJR8r,0,162,15.75,1,1
625,S,25,68,18,1,,83,40,113807,62,0,1cV6J9oq,0,556,26.55,1,0
626,S,76,59,32,3,,33,44,STON/O2. 3101271,25,0,bs09O27V,1,730,7.925,2,0
627,S,104,3,12,3,,53,60,341826,26,0,5OwSljDs,0,402,8.05,2,0
628,C,43,60,99,3,,50,29,2691,18,1,BiM4Adqx,0,703,14.4542,1,0
629,S,49,20,59,2,,50,14,31027,34,0,SMNpl6Iq,1,477,21,1,0
630,S,41,100,33,3,,24,45,350047,48,0,GvW0RMpt,0,772,7.8542,1,0
631,S,78,38,21,3,,50,45,349207,28,0,gh2hzc3Z,0,106,7.8958,1,0
632,S,18,89,59,3,,72,30,A/4 48871,24,0,YGg3rw0J,2,566,24.15,2,0
633,C,64,22,19,2,,64,31,SC 1748,17,0,ZqsnI9Zx,0,390,12,1,1
634,C,32,9,51,1,C85,43,32,PC 17599,38,0,ewl0Mhqn,1,2,71.2833,2,1
635,C,48,45,40,3,,69,40,2671,,0,4Zoo60ad,0,833,7.2292,2,0
636,S,52,44,93,3,,36,11,349251,40,0,7Noaf94o,0,562,7.8958,2,0
637,S,41,83,25,3,,-20,82,345767,22,0,5AAG2MHe,0,81,9,2,0
638,S,48,20,33,3,G6,41,31,347054,2,1,1QDneGyf,0,206,10.4625,1,0
639,C,37,29,-10,1,,12,22,PC 17604,28,0,S0IigBWV,1,35,82.1708,1,0
640,S,33,50,48,3,,95,16,347078,18,0,2v0Gz4h3,0,776,7.75,1,0
641,S,46,58,64,3,,36,25,C 4001,28,0,sHpCYbXD,0,509,22.525,2,0
642,S,54,36,59,2,,74,30,250655,19,0,ZqHsshiU,0,428,26,2,1
643,S,40,83,70,3,,25,63,A/5 2817,,0,d2eiC26b,0,455,8.05,2,0
644,C,35,53,25,1,D37,42,40,110813,60,0,PP8BrPld,1,367,75.25,2,1
645,S,22,61,22,3,,71,107,347466,20,0,YAxNiUEj,0,92,7.8542,1,0
646,S,48,51,38,1,T,55,41,113784,45,0,b8JOjmRo,0,340,35.5,2,0
647,S,32,46,61,3,,37,41,SOTON/O.Q. 392087,,0,BO68jXUr,0,565,8.05,2,0
648,S,44,64,101,2,F33,60,57,248733,24,0,ABzfGHqF,0,346,13,2,1
649,Q,27,84,95,3,F38,74,34,383121,,0,AGQ9Oasz,0,777,7.75,2,0
650,Q,8,43,37,3,,95,54,367230,,0,2SoAK8E0,1,242,15.5,1,1
651,S,88,93,51,3,,-4,53,347082,39,5,tul2CYYF,1,14,31.275,1,0
652,S,24,22,86,3,,82,14,347470,26,0,Vj7uQ16t,0,316,7.8542,1,1
653,S,55,27,22,2,,40,60,243847,24,1,cofihYMq,2,601,27,1,1
654,S,34,56,34,2,,65,26,27849,36,0,PXvlSNX5,0,388,13,2,1
655,C,45,94,51,1,C118,68,93,PC 17596,37,1,hjkSYkJr,0,274,29.7,2,0
656,S,53,37,46,1,E33,37,84,113505,,1,Ivb7zDJM,0,167,55,1,1
657,S,12,42,58,2,,80,21,C.A./SOTON 34068,28,0,aICDz8OR,0,884,10.5,1,0
658,S,76,51,45,3,,36,67,349231,19,0,EBiVlO92,0,647,7.8958,1,0
659,S,9,71,15,3,,78,20,C 7075,43,0,Q3nXBUEp,0,819,6.45,1,0
660,C,46,43,39,1,B49,-3,53,11967,25,0,Ismvk9T8,1,485,91.0792,1,1
661,S,50,78,18,3,,73,52,345765,47,0,zDuKkfIS,0,874,9,2,0
662,S,96,46,29,1,B79,21,52,110152,16,0,J5EbP6DQ,0,505,86.5,1,1
663,S,16,66,58,2,,16,44,29106,0.83,1,fvmNnZRZ,1,832,18.75,1,1
664,S,31,62,6,3,,90,133,STON/O 2. 3101275,22,0,8a9TpSy9,0,244,7.125,2,0
665,S,102,21,35,3,,21,76,349205,19,0,SBNQdQCi,0,567,7.8958,2,0
666,S,31,36,70,2,,80,17,218629,28,0,nFLWGUJN,0,563,13.5,2,0
667,S,46,27,18,3,,33,34,3101295,14,1,rfAWv7ru,4,687,39.6875,2,0
668,S,91,100,40,3,,38,67,349247,36,0,GeKrMTKk,0,190,7.8958,1,0
669,S,73,55,53,1,D6,49,25,113501,29,0,eRpRhCNq,0,783,30,1,0
670,S,43,14,48,3,F G63,94,28,348121,42,0,nR9dvl0W,0,700,7.65,2,0
671,S,46,73,61,1,A14,72,32,110465,,0,wTGcYJEX,0,476,52,2,0
672,C,122,47,55,1,D49,34,75,PC 17572,27,0,uUlV2pFZ,0,682,76.7292,1,1
673,Q,62,61,31,3,,56,26,382651,29,0,btRiahiH,0,511,7.75,2,1
674,S,53,-5,57,2,,22,73,C.A. 34651,5,2,y3OC5Ubr,1,59,27.75,2,1
675,S,80,26,62,3,,42,54,7553,22,0,2kgfWF0j,0,475,9.8375,1,0
676,Q,50,66,59,3,,43,64,372622,,0,UP5IJXhj,0,561,7.75,1,0
677,S,92,73,93,2,,58,36,250648,30,0,Luspc8lF,0,748,13,2,1
678,S,41,44,64,1,C87,20,45,113514,62,0,pu0bFYMO,0,253,26.55,2,0
679,S,33,55,20,2,D56,49,65,248698,34,0,4pHlDUdy,0,22,13,1,1
680,S,79,25,65,3,,85,26,349243,28,0,VQv8cvPy,0,314,7.8958,1,0
681,Q,31,82,51,3,,48,30,371060,,0,XZimQSzu,0,460,7.75,1,0
682,S,44,82,36,3,,18,103,371362,44,1,ROSAaYt9,0,161,16.1,1,0
683,S,27,25,30,3,,41,72,347073,45,0,d0SiOGwX,0,277,7.75,1,0
684,S,73,9,41,2,,54,118,28424,19,0,sv4Y8Qth,0,192,13,2,0
685,S,43,42,25,2,,31,57,S.O.C. 14879,18,0,urdwEbi2,0,386,73.5,2,0
686,S,66,30,89,3,,66,69,347063,31,0,zcN0PDrd,0,806,7.775,2,0
687,S,29,46,80,2,,118,60,239853,,0,5XMo8uAI,0,414,0,2,0
688,S,42,45,36,3,,59,56,SOTON/OQ 3101317,21,0,AatksJwz,0,492,7.25,2,0
689,S,62,18,66,2,,65,46,244361,25,0,HHMhc3j1,0,344,13,1,0
690,S,44,-12,58,3,,51,42,8471,32,0,nVshX86x,0,770,8.3625,2,0
691,C,34,64,64,2,,54,1,P/PP 3381,30,0,EYow3pP0,1,309,24,1,0
692,C,44,50,59,3,,33,84,2623,40,0,h93xZNx4,0,662,7.225,1,0
693,C,48,94,21,3,,101,26,349241,33,0,dsGLubCX,0,131,7.8958,2,0
694,S,79,55,11,3,,45,92,349210,36,0,JZFTIkns,0,664,7.4958,2,0
695,S,64,27,64,1,D35,38,-5,11751,47,1,eJSo6Q7O,1,872,52.5542,2,1
696,S,46,81,51,2,,83,50,244367,34,0,if3WrSv6,1,100,26,2,0
697,S,14,15,25,3,,62,66,323951,19,0,RCm0toOh,0,373,8.05,1,0
698,S,63,22,51,3,,64,30,SOTON/OQ 392086,,0,t4q9XmwW,0,88,8.05,2,0
699,S,10,35,39,2,,53,52,F.C.C. 13531,50,0,LaltsSQj,0,459,10.5,2,1
700,Q,33,50,5,3,,44,29,367226,,0,yT4veqfh,2,331,23.25,2,1
701,Q,62,48,64,3,,72,79,367229,,0,h0p75ejA,1,215,7.75,2,0
702,S,77,29,34,2,,8,45,239853,,0,datGh371,0,467,0,2,0
703,S,32,34,39,3,,44,8,A4. 54510,,0,zNgbWGRn,0,122,8.05,1,0
704,S,24,48,62,3,,66,45,364512,35,0,Q9n1s8FT,0,615,8.05,2,0
705,S,55,31,26,2,,59,43,239865,35,0,2S364B2h,0,21,26,2,0
706,C,12,58,36,1,C62 C64,55,18,PC 17757,18,0,lXrihCAe,1,701,227.525,2,1
707,S,46,45,39,3,,59,81,CA 2144,16,2,gNO5AzX3,5,72,46.9,2,0
708,S,1,64,45,3,,29,54,343120,21,0,0eLIYqmi,0,107,7.65,1,1
709,S,42,30,108,1,,42,52,113798,,0,C1M1MUqT,0,271,31,1,0
710,S,94,54,32,3,,37,48,350026,41,0,5BaLbpn3,2,861,14.1083,1,0
711,S,30,74,46,1,B96 B98,77,31,113760,14,2,qsYuePeL,1,436,120,1,1
712,S,23,44,8,1,D26,84,86,35281,21,1,7d4AYUMQ,0,103,77.2875,1,0
